1976 US Standard Atmosphere, tabulated
Altitude(km)	Pressure(pascals)	 T (deg K	 Rho(kg/M^2)	mu(Nt-sec/M^2) 	 SonicVelocity(m/sec)`	
70.20000000	4.49066773	216.88999696	0.00007213	0.00001423	295.23298578
70.40000000	4.35122703	216.32999697	0.00007007	0.00001420	294.85160045
70.60000000	4.21577144	215.76999698	0.00006806	0.00001417	294.46972116
70.80000000	4.08419696	215.20999699	0.00006611	0.00001414	294.08734600
71.00000000	3.95639986	214.64999390	0.00006421	0.00001411	293.70447090
71.20000000	3.83233107	214.24999390	0.00006231	0.00001408	293.43068433
71.40000000	3.71193195	213.84999390	0.00006047	0.00001406	293.15664207
71.60000000	3.59510051	213.44999390	0.00005867	0.00001404	292.88234339
71.80000000	3.48173742	213.04999390	0.00005693	0.00001402	292.60778757
72.00000000	3.37174594	212.64999390	0.00005524	0.00001400	292.33297389
72.20000000	3.26503186	212.24999390	0.00005359	0.00001397	292.05790163
72.40000000	3.16150342	211.84999390	0.00005199	0.00001395	291.78257005
72.60000000	3.06107127	211.44999390	0.00005043	0.00001393	291.50697842
72.80000000	2.96364841	211.04999390	0.00004892	0.00001391	291.23112599
73.00000000	2.86915011	210.64999390	0.00004745	0.00001388	290.95501203
73.20000000	2.77749389	210.24999390	0.00004602	0.00001386	290.67863579
73.40000000	2.68859943	209.84999390	0.00004463	0.00001384	290.40199652
73.60000000	2.60238855	209.44999390	0.00004328	0.00001382	290.12509347
73.80000000	2.51878512	209.04999390	0.00004197	0.00001380	289.84792589
74.00000000	2.43771506	208.64999390	0.00004070	0.00001377	289.57049301
74.20000000	2.35910622	208.24999390	0.00003946	0.00001375	289.29279407
